M$,NSF - Cosmology
0.015,"Form 10 Abstract Proposal AST 96-03537 PI: Joshua Frieman Institution: Universities Research Association Inc. This award supports partial travel expenses for attendees at the 18th Texas Symposium on Relativistic Astrophysics, to be held in Chicago, IL on 15-20 December, 1996. Prominent topics at this year's meeting will include pulsars, supernovae, solar neutrinos, X-ray astronomy, gamma ray bursts, astrophysical magnetic fields, dark matter, nuclear astrophysics, big-bang nucleosynthesis, the cosmic microwave background, gravitational lenses, galaxy clusters, large-scale structure and galaxy formation, measurement of the cosmological parameters, the interaction of particle physics and cosmology in the early universe, active galactic nuclei, quasar absorption line systems, gravity wave detection, numerical general relativity, quantum gravity, and cosmic rays. The highlight of this year's meeting is particle astrophysics."
0.3,"This proposal requests support for a U.S. university-based contribution to the Muon Ionization Cooling Experiment (MICE) being carried out at the Rutherford Appleton Laboratory (RAL) in the U.K. Recent discoveries in the study of neutrinos suggest that a very intense neutrino source, or ""Neutrino Factory,"" might answer fundamental questions of particle physics and cosmology. This large future scientific project could be sited at an existing U.S. laboratory. MICE is an essential step towards this goal and will validate Neutrino Factory cost estimates by confirming the feasibility and performance of the key ""muon cooling"" technique. <br/><br/>Neutrinos were originally postulated as massless neutral particles emitted during beta decay of radioactive nuclei. When they were found to come in two (and, later, three) types, each type was assumed (based on observation) to be immutable. However, recent experimental results indicate that over sufficiently long distances, neutrinos oscillate from one kind into another. From this, it follows that neutrinos have nonzero masses. This discovery raises fundamental issues regarding the total amount of matter in the universe and the origin of the excess of matter over antimatter, and places a high priority on studies to deduce the parameters of neutrino oscillation, including possible Charge conjugation-Parity (CP) violation in neutrino mixing. Although neutrino-oscillation studies using accelerator-derived neutrino beams are now planned or under way, recent world-wide R&D work points to a Neutrino Factory, producing a novel neutrino beam via decay of an intense muon beam circulating in a storage ring, as the ideal tool for neutrino oscillation and CP-violation studies. Such a tool would permit sensitivity several orders of magnitude beyond that of current and planned experiments. A Neutrino Factory would also be the first step towards muon-muon colliders in the longer term, with unique potential for studies of lepton collisions at the postulated Higgs resonance and the energy frontier. Muon beams at the required intensity can only be produced into a large phase space, but affordable existing acceleration technologies require a small input beam. This mismatch could be alleviated by ""cooling"" the muon beam to reduce its size. This is the goal of MICE and an international collaboration has been organized to carry it out. <br/><br/>Broader impacts of this research include validation of an important new technique applicable in a variety of scientific and technological areas, including particle physics and cosmology; development of next-generation instrumentation; collaboration of interdisciplinary and international university and national-laboratory groups including accelerator and particle physicists and engineers; training of graduate and undergraduate students including those from community colleges and underrepresented minorities; and wide information dissemination via outreach activities and public media."
0.139,"Dr. Joseph Hennawi is awarded an NSF Astronomy and Astrophysics Postdoctoral Fellowship to carry out a program of research and education at the University of California-Berkeley. Dr. Hennawi will utilize his sample of high-redshift quasar pairs with small sub-arcminute sightlines to (1) probe the intergalactic medium on scales of tens of kiloparsecs, (2) detect and use the transverse proximity effect to provide measurements of the emission geometry and radiative histories of quasars, (3) study the fluorescent glow of absorption-line systems illuminated by quasars and (4) use a quasar's ionizing flux to discern the distribution of gas in high-redshift galaxies.<br/><br/>Dr. Hennawi will also join forces with the faculty, staff, and students at Hartnell Community College to deliver an inquiry-based astronomy curriculum to socio-economically disadvantaged elementary-school students in the Salinas Valley of California who are not currently receiving any science instruction. The program aims to communicate astronomy and astrophysics, the thrill of discovery and aspects of the proposed research to an underrepresented group of elementary-school, high-school, and community-college students, as well as to the general public."
0.013,"9321168 Sezgin Description: this project supports participation by U.S. scientists in the ""VIth Regional Conference on Mathematical Physics"", planned for February 5th through 11th, 1994, in Islamabad, Pakistan. The conference will highlight the latest developments in the field of high energy physics and cosmology. The emphasis will be on the discussion of particle phenomenology, QCD light cone methods, neutrino physics and weak interactions. In the more mathematical section, the conference will focus on formal aspects of field theory: superstrings, conformal field theory, finite temperature field theory and its implications. A third session will be devoted to general relativity and cosmology. Scope: This meeting is expected to be attended by scientists and young physicists from South Asia, and Central Asia, as well as by speakers from the U.S., Canada, Europe, including from Turkey. The aim of the conference is to promote research in fundamental physics and mathematical physics in the countries of South and Central Asia, and to create linkages between young scientists in these regions and U.S. scientists. This fits well with the objectives of the Division of International Programs. ***"
0.252211,"One of the highest priority science questions in cosmology today is how hydrogen gas was ""reionized"" when the Universe was young (known as the Epoch of Reionization, or EoR). This reionization is predicted by the Big Bang theory of the evolution of the Universe, but little is known about how this physically happened. <br/><br/>The investigator will further develop his Fast Holographic Deconvolution analysis software for the reduction of hydrogen gas EoR observations. Such observations have the potential to measure the rise and fall of the EoR power spectrum, placing meaningful constraints on models of reionization and early star formation. These constraints will have impact on the astrophysics community and could influence how James Webb Space Telescope observations are interpreted, constrain the optical depth of cosmic microwave background measurements, and aid our understanding of the early universe. This award will provide funding for a postdoctoral research associate to work on making the software available and usable by the general EoR community. The grant will enable an advanced software pipeline for the international radio cosmology community, and will provide sponsorship of a workshop to train the community in its use.<br/><br/>Broader impacts of the work include training of a postdoc, and the engagement of under-represented groups toward careers in science, which has been a hallmark of Morales' group at U Washington for a number of years."
0.135,"Among the exciting events of recent years has been the mounting evidence that the very early universe underwent a period of accelerated expansion known as ""primordial inflation"". During primordial inflation there is a vast enhancement of quantum effects, which are ordinarily very small. Another significant feature of primordial inflation is that these quantum effects become fossilized so that they can be detected by current observers. The goals of this study are, among others, to work out how quantum effects arise from primordial inflation, to settle the long-standing controversy over whether or not the self-gravitation of particles produced during inflation can slow down the expansion of the universe and to investigate modified gravity theories which might describe the current universe.<br/><br/>Such a study is interesting because there is a vast reservoir of largely untapped data in the radiation from the very early structures which can be seen at great distances. This data offers sensitivity to energy scales and physical laws far beyond those that can be reached in accelerators such as the Large Hadron Collider. This project will promote teaching, training and learning. To this end, the PI will continue serving as a host in the University of Florida's Junior Science, Engineering and Humanities Symposium. These presentations typically involve simple explanations of, for example, why galactic rotation curves suggest dark matter. Then the PI discusses how students can prepare for a career in theoretical physics. The PI will also continue to deliver colloquia based on his 2009 review article, ""How Far Are We from the Quantum Theory of Gravity?"" in Reports on Progress in Physics. These colloquia are accessible to interested but non-specialist physicists, and to graduate students new to the field."
0.010464,"In the past decade new, more precise observations of the intergalactic medium (IGM)--the hydrogen and helium gas between the galaxies produced in the Big Bang--have revealed a discrepancy with the well-established predictions of our computational models. In particular, precision observations of the IGM using the Keck telescopes in Hawaii show that the temperature and ionization state of the IGM is not what our standard cosmological simulations predict: the IGM is either somewhat hotter than ultraviolet radiation from stars in galaxies can make it, or the IGM is distributed differently in space than the simulations predict, or both. There could be missing sources of heat in our models, such as energy injection by decaying dark matter particles. The discrepancy is perplexing since the standard model predicts the galaxy distribution exceedingly well. The discrepancy suggests that the standard model lacks some essential ingredient which we refer to simply as ""missing physics"". The significance of this project to the nation is that it promotes the progress of science in the fundamental field of cosmology where the US is a world leader. The project is addressing the issue of whether we are overlooking a key component of the mass-energy content of the universe. Precise answers require powerful tools, and the Blue Waters supercomputer is the tool for the job. <br/><br/>In this work, the investigators will systematically explore how the discrepancy between models and observations can be removed. They will carry out on the Blue Waters supercomputer simulations of unprecedented size and physical realism to hunt down what the missing physics is. Since the IGM comprises most of the volume and matter in the universe, a small discrepancy may translate into a big discovery. Very large 3D simulations are required because the range of scales in each dimension exceeds 4000:1. They will examine whether additional heating sources such as X-rays and ultraviolet light from early galaxies and quasars can make up the heat deficit. Alternatively, they will also examine whether the limited spatial resolution in current simulations explains the discrepancy by carrying out the first large-scale simulations of the IGM that also simulates the gas near to galaxies in detail."
0.799158,"AST-0808168<br/>Tytler<br/><br/>The intergalactic medium is most of the volume of the Universe and until recently it contained most of the dark matter and gas. This project is a tight combination of precision measurements of the intergalactic medium through absorption in quasar spectra with a suite of simulations designed to extract the physical parameters from those measurements. It will provide new estimates of cosmologically interesting parameters, including the baryonic, dark matter and dark energy contents, and the amount of clustering of matter on small scales, which are more accurate than those obtained before from the intergalactic gas, and completely independent of those from supernovae, galaxies and the cosmic microwave background. For all parameters the errors will be comparable to the best of any method. The work will also give much more accurate measurements of the temperature of the intergalactic gas, and the intensity of the ultraviolet background radiation. Sophisticated calibrations of spectra will make them suitable for determining which set of parameters makes the simulated spectra most like the real spectra. Some simulations will include radiative transfer so as to interpret absorption near to individual quasars.<br/><br/>This team has a long record of integrating education and diversity with their research. Students receive intensive instruction in astrophysics, cosmology and the methods of precision measurement, observing with the Keck and Lick telescopes, and learn to run a large code on state-of-the-art supercomputers. Most undergraduates will also become co-authors on one or two papers."
0.559633,"This project probes the fundamental physics of neutrinos and nuclei by exploiting the intersection of exciting new developments in nuclear physics and neutrino physics on the one hand, and the increasingly sophisticated astrophysical and astronomical probes of compact objects, nucleosynthesis histories, and cosmology on the other. A key issue in this enterprise will be studying how neutrinos interact in dense matter and how these interactions may cause neutrinos to change their flavors. To these ends, this UCSD effort will work toward: (1) Formulating and understanding the quantum kinetic equations which govern neutrino flavor evolution in a general medium; (2) Constructing large-scale numerical simulations of neutrino flavor evolution in various supernova, stellar collapse, and compact object merger environments and assessing the feedback of this neutrino flavor physics on the prospects for the synthesis of nuclei in these sites; (3) Understanding neutrino-nucleus interactions, nuclear partition functions, and weak strength distributions in high temperature environments; and (4) Assessing how uncertainties and new beyond-standard-model possibilities in the neutrino sector could impact ideas on nucleosynthesis, dark matter, compact object physics, and cosmology, with an eye toward finding constraints otherwise unobtainable in the laboratory.<br/><br/>The research supported in this project will provide insights into how atomic nuclei and radiation behave in extreme conditions of temperature and density. In turn, these insights could give important clues about the nature of some elementary particles and the origin of the elements, for example, in the fiery interiors of supernova explosions, or at the time when the universe was only seconds old. These are fundamental questions that will provide unique opportunities for the training of young scientists, nuclear physicists, at both the graduate and undergraduate levels."
0.550315,"Theoretical studies will be carried out in the theory of gravitation where general relativity, statistical mechanics, and quantum theory meet. The principal effort will be to construct a statistical mechanics foundation for gravitation that can also include all other matter fields. From this mechanics, the thermodynamics of black holes and horizons will be deduced and their fluctuations calculated. Emphasis will be on a consistent formulation of quantum field theory in curved spacetime, and the back reaction of these fields on spacetime geometry, including study of structures of possible importance in early cosmology, as well as black holes and cosmological event horizons. The aim ultimately is to develop the statistical mechanics framework as a paradigm for all dynamical processes; therefore, formulation of the description of irreversible processes in the developing framework will be carried out. This classical problem has applications in numerical relativity and astrophysics. It is expected to contribute insights which will be valuable in the search for a correct quantum theory of gravitation."
0.025,"This award is funded under the American Recovery and Reinvestment Act of 2009 (Public Law 111-5).<br/><br/>The two deepest mysteries in our understanding of nature are: the selection of the initial conditions (IC) of our universe, and the recent acceleration of the universe, attributed to dark energy (DE). The PI proposes to study both of these outstanding problems, within a new framework that extends the conventional approach and which uses observational analysis for guidance on these phenomena and for the testable predictions of the program. The radical departure of the PI's approach from the conventional approach is that it proposes to use the quantum dynamics of the gravitational and matter fields degrees of, in a multiverse framework, for selecting the IC and for extracting the cosmological implications of the landscape. The PI advocates that the only way to address the problem meaningfully is by extending our investigation to a multiverse framework. This proposal is one way resolving the puzzle of why our universe had to start with High Energy Big Bang, while avoiding paradoxes born out of previous attempts. This approach also offers a multitude of testable predictions, tracked down by superhorizon entanglement modes, thereby placing it as a strong candidate for a scientific theory of IC. Three of these predictions are already successfully tested, with the most recent test being the NASA discovery of a ""dark flow"" in Sept.2008. Another topic of research concerns the puzzle: what is Dark Energy? Currently, the best way to tell is by observationally finding ways to measure its pressure and equation of state w[z].<br/>Although ranked among the highest priorities in the community, this measurement has proven difficult so far. The PI proposes a complementary method, namely the use of Gravitational Waves from SBH binaries for pinning down w. This method can be quite powerful since it avoids the noise in the signal that is inherited from the vastness of structure through which the signal propagates. Besides complementing current large-scale surveys, the benefit of this method is that we can start taking data immediately and make use of existing and planned LIGO and LISA experiments. The project has many broader impacts. The PI shares the excitement of her research by giving a series of talks nationally and internationally, and by talking to media in order to help make cutting edge research accessible to a wider audience. Together with Brian Greene and J.Khoury, the PI has initiated and is co-organizing a series of conferences, ""A Debate in Cosmology"", on these outstanding topics, meant not only to stimulate progress and breakthroughs by bringing together authorities in the field, but also for disseminating knowledge by having online video-cams of the talks. She is also co-editing a book on Time's Arrow (NYAS) and co-authoring invited chapters for Springer's ""Frontier"" collection meant to disseminate cutting edge research to the general public."
0.802759,"This CAREER award will enable Dr. Kuo and his team to develop technology that will assist in the design of the POLAR array. The POLAR array will be a ground-based array that will detect and characterize the polarization signal in the cosmic microwave background (CMB), one of the most reliable and powerful probes in cosmology. Many cosmological parameters have been determined through the study of this remnant of the Big Bang. The technology development components of the proposal include the design of the focal plane, the detector/feed antenna architecture, readout electronics, techniques to implement large cold optics, and large aperture infrared filtering. All of these have the goal of maximizing the scientific output of the POLAR array.<br/><br/>The broader impacts of the award include the training of undergraduate, graduate, and post-doctoral students. Data obtained by the array will serve as a legacy data set on the high-redshift mass distribution which will benefit the entire astronomical community. Dr. Kuo and his team will also work with teachers that take part in a RET program at Stanford."
0.06,"The PI will study a class of quantum effects which take place during the phase of accelerated expansion known as ""primordial inflation."" These effects do many fascinating things such as changing the masses and field strengths of fundamental particles, and changing the rate at which the universe expands. An important property of these effects is that they grow with time until conventional approximation techniques break down. The PI will complete the development of a new technique with which this class of quantum effects can be evolved to arbitrarily late times. The work will involve reciprocal visits to collaborate with Professor Nikolaos Tsamis (University of Crete, Greece) and Professor Tomislav Prokopec (University of Utrecht, The Netherlands). Important projects will also involve the PI's graduate students: Miss Shun-Pei Miao and Mr.<br/>Emre Kahya.<br/>Some of these effects may give rise to currently observable consequences such as distortions in the spectrum of primordial perturbations, anomalously large populations of very long wavelength particles, and modifications of the gravitational force law. It seems entirely possible that certain of these effects are even dominating the current large scale evolution of the universe. In addition to deciding these issues, this project will lead to solid advances in quantum field theory on an expanding universe."
0.48,"This collaborative award funds the research activities of Professors V.P. Nair and Alexios Polychronakos at the City College of the City University of New York and Professor Daniel Kabat at Lehman College of the City University of New York. <br/><br/>Gauge theories describe the interactions of all elementary particles. One particular gauge theory, known as Quantum Chromodynamics, describes the interactions of quarks and gluons. These are the elementary particles inside nuclei, which can bind to form nuclei as well as other yet-to-be-detected particles such as glueballs. While the interaction of quarks and gluons at very high energies is fairly well understood, a detailed understanding of how quarks and gluons bind together to form nuclei and glueballs, and why isolated quarks cannot exist (""quark confinement""), is far from complete. This research project will contribute in this direction by building on previously introduced techniques within the simpler context of gauge theories with two space dimensions. This research project will also develop new techniques for calculating the Casimir force, which arises from quantum fluctuations of the electromagnetic field and which is central to many techniques in nanomechanics. Finally, on another front, Professors Nair and Polychronakos will continue their work on statistical distributions of random matrices, with implications for a variety of questions from condensed-matter physics to quantum gravity. New physically observable quantities will be analyzed and their implications for quantum gravity will be explored.<br/><br/>This project will have significant broader impacts. Professors Kabat, Nair, and Polychronakos will involve undergraduate and graduate students as well as postdoctoral researchers in their work, thereby providing critical training to these junior physicists. The project will also play an important role in fostering continuing collaboration between City College and Lehman College. Maintaining a joint research program has had a positive impact on attracting students to these research areas. Given the demographics of the two colleges, this has been particularly true for students from minority and under-represented groups."
0.024142,"This award will enable Prof. Stuart L. Shapiro and colleagues of Cornell University to collaborate with Prof. Humitaka Sato of Kyoto University, Japan, and co-workers over a period of two years. They will investigate certain leading-edge problems in relativity and relativistic astrophysics, including the nature of gravitational collapse, the formation of black holes, and the generation of gravity waves. The emphasis of this work will be on the application of supercomputers to these problems. The purpose of this research is to enhance our understanding of both relativity and cosmology, by bringing together two of the leading groups in the field. Both groups have done pioneering research in these fields and share an interest in the application of supercomputers to these problems. The program of regular visits and collaborative investigations to be supported by this grant will combine the expertise of the groups. Appropriate supercomputer facilities are available both in Kyoto and at the Cornell National Supercomputer Facility, and will be applied to such problems as the nature of mass singularities leading to black holes; the nature of nonspherical gravitational collapse; and cosmology of the early universe. Each group has developed its own algorithms for computational simulation of relevant phenomena, and programming techniques and results will be compared."
0.041195,"9813041 Pando The International Research Fellow Awards Program enables U.S. scientists and engineers to conduct three to twenty- four months of research abroad. The program's awards provide opportunities for joint research, and the use of unique or complementary facilities, expertise and experimental conditions abroad. This award will support a twelve-month postdoctoral research visit by Dr. Jesus Pando to work with Dr. Alain Blanchard at the University of Strasbourg, Observatoire Astronomique de Strasbourg in France. They will study the cosmological structure formation using a wavelet transform technique. Measuring these structures will help to determine the initial seeds and exact mechanisms that led to large-scale structure formation in the universe. The primary focus will be the study of correlations in the Cosmic Microwave Background and in the absorption spectra. They will analyze both data sets to determine if there is Non-Gaussian (abnormal) behavior in these distributions by using the moment spectra and to determine if there is hierarchical structure by using the scale-scale correlation functions. Wavelet transformation as a tool is at the forefront of modern scientific analytical methods. It can be used not just for cosmology studies, but also those of biological systems, for pattern recognition in experimental particle physics or for any problem where space-scale correlations exist. For Dr. Pando to be at Strasbourg is to place him in the center of wavelet research. ***"
0.0111,"0402098<br/>Johnson<br/><br/>The International Research Fellowship Program enables U.S. scientists and engineers to conduct three to twenty-four months of research abroad. The program's awards provide opportunities for joint research, and the use of unique or complementary facilities, expertise and experimental conditions abroad.<br/><br/>This award will support a twenty-two month research fellowship by Dr. Bradley R. Johnson to work with Dr. Walter Gear at the University of Wales in Cardiff.<br/><br/>Recent measurements of the temperature anisotropy of the cosmic microwave background radiation (CMB) from experiments like MAXIMA and WMAP suggest we live in a universe whose evolution is described by adiabatic inflationary cosmology dominated by cold dark matter and a cosmological constant. Given this fact, the CMB should be partially linearly polarized with the vector field on the sky consisting of a curl-free (E-mode) component and a divergence-free (B-mode) component. The E-mode component was predominantly produced by bulk motion in the primordial plasma at recombination arising from scalar perturbations; the B-mode component was produced by tensor perturbations resulting from inflationary gravity waves. A measurement of the angular power spectrum of the primordial B-mode polarization will yield the energy scale of inflation. B. R. Johnson is working as part of the Instrumentation Group at the University of Wales, Cardiff to develop polarimetric instrumentation for making high precision measurements of the polarization of the CMB. This instrument will be specifically designed to characterize the anticipated B-mode signals. The primordial B-mode signal is extremely faint and therefore difficult to detect. Likely instrument designs will employ hundreds of photon noise limited 300 mK bolometric detectors, a ~2 m reflecting telescope large enough to provide ~5 arcmin resolution at 150 GHz, and polarization modulation hardware. Once constructed, integrated and deployed, the experiment will be map ~500 square degree regions of the sky from Antarctica at Dome C where the millimeter-wave emission of the atmosphere is minimized."
0.755,"This proposal requests support for research by a newly formed group in M-theory, string theory and gauge theories, with applications to particle physics and cosmology. It will make use of some of the major developments in recent years, such as branes, the duality between supergravity and gauge theories, and compactification of extra dimensions to search for solutions to problems like the hierarchy problem and the cosmological constant. The PI is an expert on supergravity and was involved in the original papers on branes. The co-PI's are known for their work on the new method of flux compactification. <br/><br/>The broader impacts of the proposal include phenomenological predictions which can be tested at the LHC and in detailed observations of the cosmic microwave background. They also lead to the training of graduate students and the encouragement of women students in physics."
0.813796,
0.27,
0.6651,
0.5673,
2.71851,
0.1979,
0.169072,"ABSTRACT AST 94-19400 Turner, Edwin Gravitational lensing is a tool for studying fundamental problems in cosmology and astrophysics. Three aspects will be studied: First, a new 3.5 meter telescope with remote observing capabilities will be used to monitor the brightness of images in candidate and known lenses. The light curves will be used to measure the value of the Hubble constant, test the lens hypothesis for controversial systems, and detect microlensing events, which have implications about the nature of dark matter and the very small scale structure of quasars. Second, observations of new candidate lenses to be identified in the Sloan Digital Sky Survey data sets will enable the assembly of a large (several hundred) well controlled statistical sample, thus allowing measures of fundamental cosmological parameters. Third, advanced cosmic simulation and numerical lensing codes will be employed to predict the lensing consequences of various scenarios for the formation and evolution of galaxies and large scale structure. These predictions will be compared to observations to test the theories."
0.54,"This award funds the research activities of Professors John F. Donoghue and Lorenzo Sorbo at the University of Massachusetts, Amherst. <br/><br/>The search for new physics beyond our present Standard Model of the fundamental interactions is in an exciting phase at the moment. Both in particle physics and cosmology there are many experimental opportunities and novel theoretical ideas. The research of Profs. Donoghue and Sorbo will explore a range of theoretical topics aimed at understanding and extending our fundamental theories. These include work in quantum field theory in cosmological or gravitational applications, new physics for inflation in the early universe, and tests for unusual features of the underlying physical laws. Attention will be paid to both basic theoretical structure and also interplay with experiment. <br/><br/>The project is also envisioned to have significant broader impacts. Profs. Donoghue and Sorbo will involve graduate students in their research, providing critical training for young scientists. Prof. Donoghue is revising his successful book ""Dynamics of the Standard Model"" (with Profs. Golowich and Holstein) which provides a solid grounding in the Standard Model of particle physics. Both Profs. Donoghue and Sorbo also use their expertise in providing science instruction to both undergraduate science students and to non-science students in a general-education setting."
0.510901,"In this era of precision cosmology, measurements suggest that ordinary matter (protons and neutrons) makes up a mere 15% of the total matter density in the Universe. The rest, whose effect we can only see gravitationally, appears to be dark. The goal of detecting and identifying dark matter is widely recognized as one of the most important problems in 21st century cosmology. Current particle physics models suggest that dark matter might be weakly interacting massive particles (WIMPs) left over from the Big Bang. Efforts to directly detect WIMPs are hampered by small interaction probabilities and large backgrounds which mimic expected dark matter signals. Fortunately, a number of unique dark matter signatures exist which, if exploited, can be used to discriminate against backgrounds. These are based on the predicted behavior of the WIMP flux as the Sun-Earth system moves through the galaxy. The largest and most robust of these signatures is a day-night modulation of nuclear recoil directions in the lab frame. Of current experimental searches for dark matter only one, Directional Recoil Identification From Tracks (DRIFT), is equipped to detect this directionality signature. <br/><br/>The main subject of this proposal is to experimentally study novel detectors for future directionally sensitive dark matter detectors. These studies will focus on improving DRIFT's sensitivity for measuring directionality by taking full advantage of the directional signature from halo WIMPs while maintaining DRIFT's good background rejection capabilities, intrinsic low-maintainability, and low cost per unit mass. The goals of this research are to quantify the advantages and disadvantages of the new technologies by measuring their performance in the laboratory, and to assess the feasibility of employing these new technologies in future, large mass directional dark matter experiments.<br/><br/>Broader impacts of this work include the training of undergraduate and graduate students (including underrepresented minorities). Additionally, a targeted Outreach Program for the professional development of middle- and high-school teachers will be developed. As part of this program, each year a 1-day workshop will be offered, followed by a 2-week intensive course, with graduate credit towards a M.A. in Education, for teachers across New Mexico. This will take place in collaboration with and support from the Lodestar Astronomy Center and the Science Education Institute of the Southwest."
0.12,"High energy physics and particle astrophysics are very dynamical fields, with new data revealing evidence of physics beyond the standard model through neutrino oscillations, dark matter and dark energy. This award supports research aimed at advancing the theoretical understanding of such aspects of physics beyond the standard model and at maximizing the amount of information that can be obtained from the experimental data by considering new analysis frameworks and exploring new connections between different phenomena. As part of this effort, the PI plans to work on optimizing the next generation of neutrino experiments and developing a better framework for understanding the experimental data and its implications for theoretical models. Another topic of research will be the study of models connecting neutrinos and dark matter/dark energy, with predictions for novel, interesting phenomena in both neutrino astrophysics and cosmology. The exploration of the possible connections between neutrinos and dark matter/energy candidates is now only beginning and the scenario discussed here provides a natural framework for the realization of such a connection.<br/><br/>High energy physics, astrophysics and cosmology and the questions they are trying to address are very exciting and capture the interest of a larger public, providing excellent outreach opportunities. The PI will integrate her research into Penn State University educational outreach programs aimed at high school students and teachers. These include an annual series of summer Science Workshops for Educators aimed at secondary school teachers.<br/><br/>Using the existing infrastructure, the PI will add a new neutrino Physics/astrophysics workshop. In addition, the PI participates in the Adopt a Scientist program, aimed at exposing high school physics students to the opportunities available through science and enticing more young people to consider the sciences as a potential career choice."
0.205,"The research focuses on neutrino physics, early Universe cosmology and non-equilibrium aspects of ultrarelativistic heavy ion collisions and seeks to answer fundamental questions in these areas. This program is interdisciplinary, at the intersection of nuclear, particle, astrophysics and cosmology and is fueled by the enthusiasm, curiosity and drive of participating graduates students who are an integral part of the program. It has potential interdisciplinary impact across a broad spectrum of fundamental questions in these different areas of timely experimental and theoretical interest."
0.3,"The origins of space and time are one of the enduring mysteries of nature. Did space and time emerge in some kind of Big Bang? Will the universe end in a Big Crunch? Can we sensibly describe these singular highly quantum states of nature? In order to answer such basic questions about the nature of space and time, we need a quantum theory of gravity. String theory remains the best candidate for such a theory. The first aim of this project is to explore the nature of time in string theory through the study of both singular and non-singular time-dependent backgrounds. The second aim is to further explore the physics of flux compactifications with a focus on the heterotic string and the relation between moduli stabilization, the emergence of the Standard Model of Particle Physics and cosmology. The broader impact of this project centers on improved interdisciplinary ties with both cosmologists and mathematicians through lectures at schools and workshops, and through direct collaboration. A second aspect of the broader impact is via the PI continuing his participation in the Space Explorers innercity K-12 enrichment program."
1.932616,"This proposal intends to tackle several of the central problems facing the intersection of String theory, Cosmology and Field Theory. The group will apply new effective field theory and model-building techniques and study the phenomenology of these new ideas.. Many of the investigations center around theories with extra dimensions and involve relating String theory to cosmology. Heavy Quark effective theories will be used to understand the phenomenology of D and B mesons and understand physics beyond the standard model. Emphasis will be on disentangling new physics at the TeV scale and how it relates to various generalizations of the Standard Model.<br/>The questions this proposal hopes to address are what are the robust signals connected with different theoretical ideas? What windows of opportunities exist for the different experiments? How can theoretical scenarios be best distinguished?"
0.59,"Abstract AST-9420759 Schramm, David N. Dr. Schramm will continue to lead a research effort with a center of activity that connects particle physics, nuclear physics, cosmology, and astrophysics. Topics of interest include: nucleosynthesis from the big bang; the formation of galaxies and large scale structure and their interrelationship with dark matter; ultra-high energy cosmic rays; and the evolution of galaxies and globular clusters. ***"
0.460079,"The matter in the universe is composed overwhelmingly of hydrogen and helium, which were the only elements made in substantial quantities by the big bang. All the heavier elements, which astronomers refer to generically as ""metals,"" were made by nuclear reactions in the cores of stars, ejected at the ends of the lives of those stars, and then recycled into a next generation of stars and planets. We understand reasonably well how metals are made and ejected from stars, but relatively little about the path they take post-ejection. The goal of this proposal is to greatly improve our knowledge of this process, and thereby to understand the life cycles of the elements that make up our planet and our bodies. The project will involve computer simulations of the flows of metals through and potentially out of the disk of a galaxy. Within the scientific community, the results generated by this project will be of use to people studying both stars and cosmology, and the project itself will help train a new generation of scientists. The broader impact of the work involves a volunteer organization which teaches math and science to inmates in Santa Cruz County Jails.<br/><br/><br/>To address the question of how metals are transported through galactic disks, the PI, his collaborators, and students will carry out a campaign of simulations of both isolated shearing boxes and entire galaxies, including a variety of mechanisms for generating instability and transport. They will also conduct simulations of the launching of galactic winds by supernovae, in order to understand how supernova ejecta are or are not mixed with the ambient ISM on their way into a wind. The simulations will use either Athena or PENCIL for the isolated boxes, and ENZO for the whole galaxy and galactic wind calculations. The results of the simulations will be incorporated into a 1D galaxy evolution code in order to study the long-term radial distribution of metals, and both the 1D and full 3D results will be compared with observations. The simulation result will be expressed in the form of parameters (e.g. diffusion coefficients) suitable for other groups to use in semi-analytic models or full cosmological simulations that lack the resolution to model metal diffusion processes self-consistently, and thus must rely on subgrid models. The 1D galaxy evolution code is also open source, and is available for use by the community. The broader impact of the work involves a volunteer organization which teaches math and science to inmates in Santa Cruz County Jails."
0.05,"Symmetric solutions and related models present some of the main methods to extract physical information from classical or quantum gravity. Several techniques to construct representative models have been developed for one of the current candidates for a quantum theory of gravity, loop quantum gravity. For realistic situations, which are never exactly symmetric, more general formulations containing at least small values of general fields such as inhomogeneities will be developed. This is essential for, e.g., predictions in cosmological observations or to understand properties of black holes. An analysis of the resulting equations will be carried out in order to arrive at consistency tests of the general framework as well as possible observable effects.<br/>Since quantum theories of gravity are still being developed, any information on the behavior of possible candidates, in particular in physical scenarios, will help to lead the theoretical construction. Quantum gravity, in turn, is widely believed to be essential for the understanding of the universe at a fundamental level. This applies in particular to the two main areas of applications, cosmology and black holes, which receive wide interest in the general public. Models as developed here allow the development of intuitive explanations which make such a broad dissemination possible. In simplifying the complex full theories, suitable models also provide ideal entry points for students or researchers new to the field."
0.034,"The objective of this project is to gain a better understanding of the application of quantum mechanics to the entire universe. In particular, what does quantum mechanics imply for the size and shape of the universe, for the properties of small wormholes which may connect otherwise disconnected large regions of spacetime, for the process of black-hole formation and evaporation, and for the arrow of time? The methods used to attack these questions will be, among others, a theoretical study of complex classical solutions of Einstein's equations as a basis for a semiclassical quantum analysis, a construction of model universe and wormhole wavefunctions and density matrices based on these classical solutions and on other mathematical techniques, and an analysis of the entropy of conditional density matrices and how it changes as the condition representing time is changed. The project will have the significance of advancing our scientific knowledge of the unity of nature as a single quantum mechanical universe."
